datetime,pcu_vol
25-02-2020 09:05,486.81
25-02-2020 09:10,453.34
25-02-2020 09:15,495.54
25-02-2020 09:20,498.2
25-02-2020 09:25,501.54
25-02-2020 09:30,405.35
25-02-2020 09:35,539.33
25-02-2020 09:40,441.5
25-02-2020 09:45,452.58
25-02-2020 09:50,689.43
25-02-2020 09:55,619.99
25-02-2020 10:00,526.8
25-02-2020 10:05,581.27
25-02-2020 10:10,634.28
25-02-2020 10:15,475.41
25-02-2020 10:20,522.31
25-02-2020 10:25,534.5
25-02-2020 10:30,510.95
25-02-2020 10:35,512.4
25-02-2020 10:40,491.97
25-02-2020 10:45,556.59
25-02-2020 10:50,546.6
25-02-2020 10:55,418.19
25-02-2020 11:00,473.68
25-02-2020 16:35,633.29
25-02-2020 16:40,562.77
25-02-2020 16:45,582.82
25-02-2020 16:50,618.06
25-02-2020 16:55,503.56
25-02-2020 17:00,600.26
25-02-2020 17:05,449.03
25-02-2020 17:10,605.39
25-02-2020 17:15,540.26
25-02-2020 17:20,565.77
25-02-2020 17:25,633.14
25-02-2020 17:30,648.07
25-02-2020 17:35,575.25
25-02-2020 17:40,608
25-02-2020 17:45,576.8
25-02-2020 17:50,610.53
25-02-2020 17:55,639.87
25-02-2020 18:00,547.03
25-02-2020 18:05,553.28
25-02-2020 18:10,680.37
25-02-2020 18:15,770
25-02-2020 18:20,614.26
25-02-2020 18:25,514.89
25-02-2020 18:30,586.77
25-02-2020 18:35,583.06
25-02-2020 18:40,530.49
25-02-2020 18:45,519
25-02-2020 18:50,458.97
25-02-2020 18:55,547.85
25-02-2020 19:00,447.95
26-02-2020 08:35,533.07
26-02-2020 08:40,452.54
26-02-2020 08:45,565.02
26-02-2020 08:50,539.42
26-02-2020 08:55,594.39
26-02-2020 09:00,685.88
26-02-2020 09:05,561.22
26-02-2020 09:10,606.85
26-02-2020 09:15,588
26-02-2020 09:20,619.88
26-02-2020 09:25,559.1
26-02-2020 09:30,577.91
26-02-2020 09:35,613.12
26-02-2020 09:40,682.11
26-02-2020 09:45,565.94
26-02-2020 09:50,616.07
26-02-2020 09:55,690.76
26-02-2020 10:00,527.14
26-02-2020 10:05,540.84
26-02-2020 10:10,649.2
26-02-2020 10:15,575.64
26-02-2020 10:20,648.58
26-02-2020 10:25,578.02
26-02-2020 10:30,532.77
26-02-2020 10:35,560.97
26-02-2020 10:40,532.2
26-02-2020 10:45,627.05
26-02-2020 10:50,568.68
26-02-2020 10:55,593.57
26-02-2020 11:00,564.43
26-02-2020 16:35,564.6
26-02-2020 16:40,542.22
26-02-2020 16:45,552.59
26-02-2020 16:50,549.95
26-02-2020 16:55,552.63
26-02-2020 17:00,535.51
26-02-2020 17:05,599.14
26-02-2020 17:10,562.36
26-02-2020 17:15,530.66
26-02-2020 17:20,446.38
26-02-2020 17:25,513.95
26-02-2020 17:30,508.05
26-02-2020 17:35,477.33
26-02-2020 17:40,598.51
26-02-2020 17:45,499.3
26-02-2020 17:50,531.52
26-02-2020 17:55,592.81
26-02-2020 18:00,528.35
26-02-2020 18:05,542.45
26-02-2020 18:10,613.87
26-02-2020 18:15,485.13
26-02-2020 18:20,585.74
26-02-2020 18:25,547.06
26-02-2020 18:30,542.45
26-02-2020 18:35,485.74
26-02-2020 18:40,531.82
26-02-2020 18:45,520.27
26-02-2020 18:50,476.2
26-02-2020 18:55,520.16
26-02-2020 19:00,490.51
26-02-2020 08:35,535.55
26-02-2020 08:40,467.08
26-02-2020 08:45,455.52
26-02-2020 08:50,424.58
26-02-2020 08:55,492
26-02-2020 09:00,413.74
26-02-2020 09:05,446.45
26-02-2020 09:10,453.73
26-02-2020 09:15,520.01
26-02-2020 09:20,438.39
26-02-2020 09:25,450.38
26-02-2020 09:30,466.7
26-02-2020 09:35,479.81
26-02-2020 09:40,575.84
26-02-2020 09:45,544.87
26-02-2020 09:50,545.59
26-02-2020 09:55,526.44
26-02-2020 10:00,567.9
26-02-2020 10:05,531.09
26-02-2020 10:10,605.01
26-02-2020 10:15,517.69
26-02-2020 10:20,583.41
26-02-2020 10:25,622.63
26-02-2020 10:30,467.14
26-02-2020 10:35,467.89
26-02-2020 10:40,543.65
26-02-2020 10:45,591.41
26-02-2020 10:50,550.15
26-02-2020 10:55,469.29
26-02-2020 11:00,573.57
26-02-2020 16:35,554.74
26-02-2020 16:40,580.61
26-02-2020 16:45,633.69
26-02-2020 16:50,620.5
26-02-2020 16:55,505.4
26-02-2020 17:00,606.08
26-02-2020 17:05,602.57
26-02-2020 17:10,584.58
26-02-2020 17:15,602.92
26-02-2020 17:20,476.94
26-02-2020 17:25,651.48
26-02-2020 17:30,603.88
26-02-2020 17:35,600.51
26-02-2020 17:40,610.21
26-02-2020 17:45,712.35
26-02-2020 17:50,591.06
26-02-2020 17:55,610.41
26-02-2020 18:00,706.05
26-02-2020 18:05,594.71
26-02-2020 18:10,530.29
26-02-2020 18:15,498.3
26-02-2020 18:20,534.86
26-02-2020 18:25,519.05
26-02-2020 18:30,593.65
26-02-2020 18:35,563.5
26-02-2020 18:40,526.58
26-02-2020 18:45,441.76
26-02-2020 18:50,552.35
26-02-2020 18:55,584.54
26-02-2020 19:00,484.44
27-02-2020 08:35,468.6
27-02-2020 08:40,454.98
27-02-2020 08:45,580.88
27-02-2020 08:50,577.58
27-02-2020 08:55,647.82
27-02-2020 09:00,598.05
27-02-2020 09:05,629.27
27-02-2020 09:10,612.75
27-02-2020 09:15,586.38
27-02-2020 09:20,1233.57
27-02-2020 09:25,671.01
27-02-2020 09:30,547.19
27-02-2020 09:35,663.33
27-02-2020 09:40,674.63
27-02-2020 09:45,463.96
27-02-2020 09:50,632.83
27-02-2020 09:55,607.07
27-02-2020 10:00,615.36
