datetime,Bus_speed
25-02-2020 09:05,13.107
25-02-2020 09:10,14.211
25-02-2020 09:15,12.796
25-02-2020 09:20,15.126
25-02-2020 09:25,16.413
25-02-2020 09:30,12.357
25-02-2020 09:35,15.743
25-02-2020 09:40,14.477
25-02-2020 09:45,15.297
25-02-2020 09:50,13.333
25-02-2020 09:55,14.876
25-02-2020 10:00,13.5
25-02-2020 10:05,13.139
25-02-2020 10:10,13.602
25-02-2020 10:15,10.865
25-02-2020 10:20,14.136
25-02-2020 10:25,13.918
25-02-2020 10:30,14.754
25-02-2020 10:35,14.876
25-02-2020 10:40,15.517
25-02-2020 10:45,13.333
25-02-2020 10:50,12.706
25-02-2020 10:55,12.981
25-02-2020 11:00,15.042
25-02-2020 16:35,15.607
25-02-2020 16:40,11.868
25-02-2020 16:45,13.171
25-02-2020 16:50,13.333
25-02-2020 16:55,13.776
25-02-2020 17:00,12.676
25-02-2020 17:05,13.671
25-02-2020 17:10,11.688
25-02-2020 17:15,13.636
25-02-2020 17:20,14.099
25-02-2020 17:25,11.416
25-02-2020 17:30,11.765
25-02-2020 17:35,13.4
25-02-2020 17:40,13.4
25-02-2020 17:45,13.776
25-02-2020 17:50,12.329
25-02-2020 17:55,11.613
25-02-2020 18:00,13.953
25-02-2020 18:05,14.324
25-02-2020 18:10,11.921
25-02-2020 18:15,13.012
25-02-2020 18:20,15.562
25-02-2020 18:25,11.638
25-02-2020 18:30,10.405
25-02-2020 18:35,13.706
25-02-2020 18:40,12.217
25-02-2020 18:45,12.19
25-02-2020 18:50,13.268
25-02-2020 18:55,14.835
25-02-2020 19:00,12.245
26-02-2020 08:35,21.774
26-02-2020 08:40,20.455
26-02-2020 08:45,15.283
26-02-2020 08:50,19.014
26-02-2020 08:55,18.698
26-02-2020 09:00,20.517
26-02-2020 09:05,18.685
26-02-2020 09:10,18.443
26-02-2020 09:15,20.225
26-02-2020 09:20,18.646
26-02-2020 09:25,19.737
26-02-2020 09:30,19.97
26-02-2020 09:35,17.94
26-02-2020 09:40,17.81
26-02-2020 09:45,17.857
26-02-2020 09:50,18.881
26-02-2020 09:55,13.5
26-02-2020 10:00,20.074
26-02-2020 10:05,15.341
26-02-2020 10:10,17.532
26-02-2020 10:15,14.485
26-02-2020 10:20,15.882
26-02-2020 10:25,18.75
26-02-2020 10:30,18.443
26-02-2020 10:35,18.097
26-02-2020 10:40,17.952
26-02-2020 10:45,16.77
26-02-2020 10:50,17.442
26-02-2020 10:55,16.615
26-02-2020 11:00,20.474
26-02-2020 16:35,18.048
26-02-2020 16:40,15.306
26-02-2020 16:45,15.517
26-02-2020 16:50,16.304
26-02-2020 16:55,15.929
26-02-2020 17:00,16.11
26-02-2020 17:05,16.265
26-02-2020 17:10,19.679
26-02-2020 17:15,17.905
26-02-2020 17:20,17.132
26-02-2020 17:25,18.802
26-02-2020 17:30,18.443
26-02-2020 17:35,16.875
26-02-2020 17:40,17.089
26-02-2020 17:45,19.355
26-02-2020 17:50,20.517
26-02-2020 17:55,17.59
26-02-2020 18:00,19.636
26-02-2020 18:05,16.497
26-02-2020 18:10,12.919
26-02-2020 18:15,15.836
26-02-2020 18:20,16.791
26-02-2020 18:25,18.145
26-02-2020 18:30,14.477
26-02-2020 18:35,17.717
26-02-2020 18:40,17.717
26-02-2020 18:45,16.96
26-02-2020 18:50,19.014
26-02-2020 18:55,18.685
26-02-2020 19:00,16.226
26-02-2020 08:35,17.822
26-02-2020 08:40,18.815
26-02-2020 08:45,15.562
26-02-2020 08:50,15.385
26-02-2020 08:55,12.796
26-02-2020 09:00,16.168
26-02-2020 09:05,16.265
