datetime,Car_volume
25-02-2020 16:55,234
25-02-2020 17:00,253
25-02-2020 17:05,197
25-02-2020 17:10,240
25-02-2020 17:15,267
25-02-2020 17:20,241
25-02-2020 17:25,271
25-02-2020 17:30,292
25-02-2020 17:35,302
25-02-2020 17:40,322
25-02-2020 17:45,337
25-02-2020 17:50,318
25-02-2020 17:55,358
25-02-2020 18:00,305
25-02-2020 18:05,277
25-02-2020 18:10,339
25-02-2020 18:15,338
25-02-2020 18:20,263
25-02-2020 18:25,277
25-02-2020 18:30,299
25-02-2020 18:35,300
25-02-2020 18:40,258
25-02-2020 18:45,258
25-02-2020 18:50,258
25-02-2020 18:55,258
25-02-2020 19:00,258
26-02-2020 08:35,263
26-02-2020 08:40,241
26-02-2020 08:45,327
26-02-2020 08:50,326
26-02-2020 08:55,329
26-02-2020 09:00,334
26-02-2020 09:05,303
26-02-2020 09:10,358
26-02-2020 09:15,332
26-02-2020 09:20,306
26-02-2020 09:25,306
26-02-2020 09:30,317
26-02-2020 09:35,334
26-02-2020 09:40,316
26-02-2020 09:45,313
26-02-2020 09:50,310
26-02-2020 09:55,371
26-02-2020 10:00,275
26-02-2020 10:05,276
26-02-2020 10:10,301
26-02-2020 10:15,294
26-02-2020 10:20,300
26-02-2020 10:25,336
26-02-2020 10:30,275
26-02-2020 10:35,276
26-02-2020 10:40,260
26-02-2020 10:45,321
26-02-2020 10:50,285
26-02-2020 10:55,285
26-02-2020 11:00,324
26-02-2020 16:35,288
26-02-2020 16:40,302
26-02-2020 16:45,258
26-02-2020 16:50,262
26-02-2020 16:55,308
26-02-2020 17:00,273
26-02-2020 17:05,253
26-02-2020 17:10,263
26-02-2020 17:15,276
26-02-2020 17:20,250
26-02-2020 17:25,287
26-02-2020 17:30,273
26-02-2020 17:35,229
26-02-2020 17:40,324
26-02-2020 17:45,312
26-02-2020 17:50,287
26-02-2020 17:55,344
26-02-2020 18:00,327
26-02-2020 18:05,297
26-02-2020 18:10,353
26-02-2020 18:15,358
26-02-2020 18:20,368
26-02-2020 18:25,293
26-02-2020 18:30,314
26-02-2020 18:35,351
26-02-2020 18:40,310
26-02-2020 18:45,298
26-02-2020 18:50,292
26-02-2020 18:55,300
26-02-2020 19:00,287
26-02-2020 08:35,179
26-02-2020 08:40,187
26-02-2020 08:45,214
26-02-2020 08:50,189
26-02-2020 08:55,211
26-02-2020 09:00,201
26-02-2020 09:05,202
26-02-2020 09:10,201
26-02-2020 09:15,226
26-02-2020 09:20,197
26-02-2020 09:25,212
26-02-2020 09:30,203
26-02-2020 09:35,236
26-02-2020 09:40,241
26-02-2020 09:45,239
26-02-2020 09:50,235
26-02-2020 09:55,260
26-02-2020 10:00,234
26-02-2020 10:05,238
26-02-2020 10:10,241
26-02-2020 10:15,237
26-02-2020 10:20,224
26-02-2020 10:25,232
26-02-2020 10:30,286
26-02-2020 10:35,208
26-02-2020 10:40,226
26-02-2020 10:45,271
26-02-2020 10:50,258
26-02-2020 10:55,220
26-02-2020 11:00,241
26-02-2020 16:35,242
26-02-2020 16:40,250
26-02-2020 16:45,240
26-02-2020 16:50,290
26-02-2020 16:55,238
26-02-2020 17:00,252
26-02-2020 17:05,271
26-02-2020 17:10,267
26-02-2020 17:15,327
26-02-2020 17:20,156
26-02-2020 17:25,298
26-02-2020 17:30,295
26-02-2020 17:35,296
26-02-2020 17:40,291
26-02-2020 17:45,323
26-02-2020 17:50,314
26-02-2020 17:55,339
26-02-2020 18:00,327
26-02-2020 18:05,344
26-02-2020 18:10,310
26-02-2020 18:15,316
26-02-2020 18:20,351
26-02-2020 18:25,320
26-02-2020 18:30,249
26-02-2020 18:35,268
26-02-2020 18:40,256
26-02-2020 18:45,233
26-02-2020 18:50,236
26-02-2020 18:55,277
26-02-2020 19:00,263
27-02-2020 08:35,252
27-02-2020 08:40,251
27-02-2020 08:45,291
27-02-2020 08:50,296
27-02-2020 08:55,347
27-02-2020 09:00,309
27-02-2020 09:05,380
27-02-2020 09:10,326
27-02-2020 09:15,350
27-02-2020 09:20,344
27-02-2020 09:25,366
27-02-2020 09:30,320
27-02-2020 09:35,315
27-02-2020 09:40,337
27-02-2020 09:45,285
27-02-2020 09:50,314
27-02-2020 09:55,280
27-02-2020 10:00,356
27-02-2020 10:05,280
27-02-2020 10:10,326
27-02-2020 10:15,297
27-02-2020 10:20,242
27-02-2020 10:25,313
27-02-2020 10:30,271
27-02-2020 10:35,193
27-02-2020 10:40,228
27-02-2020 10:45,248
27-02-2020 10:50,223
27-02-2020 10:55,222
27-02-2020 11:00,220
27-02-2020 16:35,295
27-02-2020 16:40,267
27-02-2020 16:45,257
27-02-2020 16:50,259
27-02-2020 16:55,266
27-02-2020 17:00,232
27-02-2020 17:05,348
27-02-2020 17:10,226
27-02-2020 17:15,305
27-02-2020 17:20,302
27-02-2020 17:25,318
27-02-2020 17:30,348
27-02-2020 17:35,296
27-02-2020 17:40,367
27-02-2020 17:45,357
27-02-2020 17:50,294
27-02-2020 17:55,285
27-02-2020 18:00,322
27-02-2020 18:05,279
27-02-2020 18:10,311
27-02-2020 18:15,342
27-02-2020 18:20,298
27-02-2020 18:25,299
27-02-2020 18:30,347
27-02-2020 18:35,282
27-02-2020 18:40,322
27-02-2020 18:45,318
27-02-2020 18:50,259
27-02-2020 18:55,319
27-02-2020 19:00,269
27-02-2020 08:35,176
27-02-2020 08:40,193
27-02-2020 08:45,156
27-02-2020 08:50,164
27-02-2020 08:55,203
27-02-2020 09:00,206
27-02-2020 09:05,220
27-02-2020 09:10,260
27-02-2020 09:15,210
