datetime,Bus_volume
25-02-2020 16:55,18
25-02-2020 17:00,17
25-02-2020 17:05,12
25-02-2020 17:10,15
25-02-2020 17:15,12
25-02-2020 17:20,18
25-02-2020 17:25,21
25-02-2020 17:30,21
25-02-2020 17:35,17
25-02-2020 17:40,20
25-02-2020 17:45,15
25-02-2020 17:50,17
25-02-2020 17:55,14
25-02-2020 18:00,16
25-02-2020 18:05,19
25-02-2020 18:10,17
25-02-2020 18:15,29
25-02-2020 18:20,22
25-02-2020 18:25,10
25-02-2020 18:30,18
25-02-2020 18:35,17
25-02-2020 18:40,13
25-02-2020 18:45,15
25-02-2020 18:50,11
25-02-2020 18:55,20
25-02-2020 19:00,13
26-02-2020 08:35,17
26-02-2020 08:40,19
26-02-2020 08:45,12
26-02-2020 08:50,17
26-02-2020 08:55,16
26-02-2020 09:00,23
26-02-2020 09:05,17
26-02-2020 09:10,16
26-02-2020 09:15,15
26-02-2020 09:20,27
26-02-2020 09:25,14
26-02-2020 09:30,19
26-02-2020 09:35,15
26-02-2020 09:40,19
26-02-2020 09:45,15
26-02-2020 09:50,21
26-02-2020 09:55,21
26-02-2020 10:00,11
26-02-2020 10:05,13
26-02-2020 10:10,25
26-02-2020 10:15,17
26-02-2020 10:20,20
26-02-2020 10:25,14
26-02-2020 10:30,18
26-02-2020 10:35,17
26-02-2020 10:40,15
26-02-2020 10:45,19
26-02-2020 10:50,19
26-02-2020 10:55,25
26-02-2020 11:00,15
26-02-2020 16:35,17
26-02-2020 16:40,12
26-02-2020 16:45,18
26-02-2020 16:50,23
26-02-2020 16:55,15
26-02-2020 17:00,18
26-02-2020 17:05,24
26-02-2020 17:10,26
26-02-2020 17:15,16
26-02-2020 17:20,10
26-02-2020 17:25,19
26-02-2020 17:30,17
26-02-2020 17:35,17
26-02-2020 17:40,21
26-02-2020 17:45,14
26-02-2020 17:50,23
26-02-2020 17:55,21
26-02-2020 18:00,14
26-02-2020 18:05,20
26-02-2020 18:10,14
26-02-2020 18:15,12
26-02-2020 18:20,12
26-02-2020 18:25,15
26-02-2020 18:30,13
26-02-2020 18:35,11
26-02-2020 18:40,18
26-02-2020 18:45,16
26-02-2020 18:50,9
26-02-2020 18:55,17
26-02-2020 19:00,14
26-02-2020 08:35,24
26-02-2020 08:40,20
26-02-2020 08:45,13
26-02-2020 08:50,20
26-02-2020 08:55,15
26-02-2020 09:00,12
26-02-2020 09:05,17
