datetime,3W_volume
24-02-2020 08:35,115
24-02-2020 08:40,109
24-02-2020 08:45,98
24-02-2020 08:50,143
24-02-2020 08:55,131
24-02-2020 09:00,103
24-02-2020 09:05,136
24-02-2020 09:10,120
24-02-2020 09:15,121
24-02-2020 09:20,114
24-02-2020 09:25,120
24-02-2020 09:30,142
24-02-2020 09:35,136
24-02-2020 09:40,116
24-02-2020 09:45,117
24-02-2020 09:50,114
24-02-2020 09:55,134
24-02-2020 10:00,134
24-02-2020 10:05,138
24-02-2020 10:10,142
24-02-2020 10:15,108
24-02-2020 10:20,170
24-02-2020 10:25,142
24-02-2020 10:30,106
24-02-2020 10:35,110
24-02-2020 10:40,112
24-02-2020 10:45,122
24-02-2020 10:50,116
24-02-2020 10:55,128
24-02-2020 11:00,116
24-02-2020 16:35,90
24-02-2020 16:40,98
24-02-2020 16:45,98
24-02-2020 16:50,88
24-02-2020 16:55,104
24-02-2020 17:00,84
24-02-2020 17:05,83
24-02-2020 17:10,86
24-02-2020 17:15,69
24-02-2020 17:20,80
24-02-2020 17:25,101
24-02-2020 17:30,76
24-02-2020 17:35,72
24-02-2020 17:40,88
24-02-2020 17:45,70
24-02-2020 17:50,67
24-02-2020 17:55,80
24-02-2020 18:00,98
24-02-2020 18:05,90
24-02-2020 18:10,76
24-02-2020 18:15,85
24-02-2020 18:20,82
24-02-2020 18:25,78
24-02-2020 18:30,91
24-02-2020 18:35,71
24-02-2020 18:40,82
24-02-2020 18:45,76
24-02-2020 18:50,82
24-02-2020 18:55,71
24-02-2020 19:00,70
24-02-2020 08:35,62
24-02-2020 08:40,60
24-02-2020 08:45,84
24-02-2020 08:50,80
24-02-2020 08:55,81
24-02-2020 09:00,85
24-02-2020 09:05,83
24-02-2020 09:10,82
24-02-2020 09:15,75
24-02-2020 09:20,74
24-02-2020 09:25,99
24-02-2020 09:30,83
24-02-2020 09:35,87
24-02-2020 09:40,96
24-02-2020 09:45,96
24-02-2020 09:50,121
24-02-2020 09:55,109
24-02-2020 10:00,85
24-02-2020 10:05,101
24-02-2020 10:10,108
24-02-2020 10:15,101
24-02-2020 10:20,112
24-02-2020 10:25,93
24-02-2020 10:30,103
24-02-2020 10:35,105
24-02-2020 10:40,95
24-02-2020 10:45,105
24-02-2020 10:50,100
24-02-2020 10:55,104
24-02-2020 11:00,100
24-02-2020 16:35,73
24-02-2020 16:40,70
24-02-2020 16:45,81
24-02-2020 16:50,75
24-02-2020 16:55,76
24-02-2020 17:00,99
24-02-2020 17:05,71
24-02-2020 17:10,103
24-02-2020 17:15,74
24-02-2020 17:20,74
24-02-2020 17:25,81
24-02-2020 17:30,87
24-02-2020 17:35,107
24-02-2020 17:40,82
24-02-2020 17:45,83
24-02-2020 17:50,71
24-02-2020 17:55,80
24-02-2020 18:00,82
24-02-2020 18:05,76
24-02-2020 18:10,88
24-02-2020 18:15,101
24-02-2020 18:20,94
24-02-2020 18:25,108
24-02-2020 18:30,99
24-02-2020 18:35,96
24-02-2020 18:40,81
24-02-2020 18:45,73
24-02-2020 18:50,81
24-02-2020 18:55,69
24-02-2020 19:00,84
25-02-2020 08:35,86
25-02-2020 08:40,90
25-02-2020 08:45,105
25-02-2020 08:50,129
25-02-2020 08:55,115
25-02-2020 09:00,125
25-02-2020 09:05,102
25-02-2020 09:10,105
25-02-2020 09:15,146
25-02-2020 09:20,110
25-02-2020 09:25,97
25-02-2020 09:30,138
25-02-2020 09:35,127
25-02-2020 09:40,141
25-02-2020 09:45,119
25-02-2020 09:50,123
25-02-2020 09:55,119
25-02-2020 10:00,118
25-02-2020 10:05,124
25-02-2020 10:10,117
25-02-2020 10:15,110
25-02-2020 10:20,112
25-02-2020 10:25,138
25-02-2020 10:30,136
25-02-2020 10:35,93
25-02-2020 10:40,103
25-02-2020 10:45,116
25-02-2020 10:50,118
25-02-2020 10:55,96
25-02-2020 11:00,84
25-02-2020 16:35,89
25-02-2020 16:40,81
25-02-2020 16:45,89
25-02-2020 16:50,78
25-02-2020 16:55,80
25-02-2020 17:00,89
25-02-2020 17:05,75
25-02-2020 17:10,78
25-02-2020 17:15,77
25-02-2020 17:20,75
25-02-2020 17:25,103
25-02-2020 17:30,79
25-02-2020 17:35,82
25-02-2020 17:40,82
25-02-2020 17:45,56
25-02-2020 17:50,88
25-02-2020 17:55,76
25-02-2020 18:00,89
25-02-2020 18:05,72
25-02-2020 18:10,69
25-02-2020 18:15,83
25-02-2020 18:20,82
25-02-2020 18:25,84
25-02-2020 18:30,78
25-02-2020 18:35,84
25-02-2020 18:40,59
25-02-2020 18:45,74
25-02-2020 18:50,66
25-02-2020 18:55,88
25-02-2020 19:00,66
25-02-2020 08:35,69
25-02-2020 08:40,66
25-02-2020 08:45,58
25-02-2020 08:50,6
25-02-2020 08:55,74
25-02-2020 09:00,72
25-02-2020 09:05,81
25-02-2020 09:10,96
25-02-2020 09:15,92
25-02-2020 09:20,72
25-02-2020 09:25,84
25-02-2020 09:30,86
25-02-2020 09:35,86
25-02-2020 09:40,82
25-02-2020 09:45,93
25-02-2020 09:50,105
25-02-2020 09:55,117
25-02-2020 10:00,91
25-02-2020 10:05,100
25-02-2020 10:10,99
25-02-2020 10:15,94
25-02-2020 10:20,100
25-02-2020 10:25,97
25-02-2020 10:30,87
25-02-2020 10:35,109
25-02-2020 10:40,95
25-02-2020 10:45,94
