datetime,3W_speed
25-02-2020 09:05,22.5
25-02-2020 09:10,25.116
25-02-2020 09:15,22.5
25-02-2020 09:20,22.785
25-02-2020 09:25,20
25-02-2020 09:30,23.478
25-02-2020 09:35,21.429
25-02-2020 09:40,31.579
25-02-2020 09:45,26.601
25-02-2020 09:50,17.532
25-02-2020 09:55,21.6
25-02-2020 10:00,21.176
25-02-2020 10:05,24.324
25-02-2020 10:10,22.131
25-02-2020 10:15,26.601
25-02-2020 10:20,24.545
25-02-2020 10:25,25.116
25-02-2020 10:30,19.149
25-02-2020 10:35,24
25-02-2020 10:40,27.979
25-02-2020 10:45,23.276
25-02-2020 10:50,25.592
25-02-2020 10:55,22.689
25-02-2020 11:00,22.314
25-02-2020 16:35,30.337
25-02-2020 16:40,30.682
25-02-2020 16:45,26.214
25-02-2020 16:50,26.341
25-02-2020 16:55,28.877
25-02-2020 17:00,23.789
25-02-2020 17:05,26.214
25-02-2020 17:10,24.324
25-02-2020 17:15,21.514
25-02-2020 17:20,26.087
25-02-2020 17:25,25.234
25-02-2020 17:30,16.981
25-02-2020 17:35,25.116
25-02-2020 17:40,22.5
25-02-2020 17:45,26.341
25-02-2020 17:50,21.514
25-02-2020 17:55,25.352
25-02-2020 18:00,29.348
25-02-2020 18:05,22.689
25-02-2020 18:10,20.69
25-02-2020 18:15,22.407
25-02-2020 18:20,25.116
25-02-2020 18:25,27.551
25-02-2020 18:30,24.215
25-02-2020 18:35,25.962
25-02-2020 18:40,32.727
25-02-2020 18:45,20.769
25-02-2020 18:50,24.885
25-02-2020 18:55,25.352
25-02-2020 19:00,26.087
26-02-2020 08:35,32.143
26-02-2020 08:40,33.582
26-02-2020 08:45,29.189
26-02-2020 08:50,32.609
26-02-2020 08:55,24.281
26-02-2020 09:00,28.243
26-02-2020 09:05,25.187
26-02-2020 09:10,23.077
26-02-2020 09:15,24.457
26-02-2020 09:20,25.763
26-02-2020 09:25,30
26-02-2020 09:30,30.822
26-02-2020 09:35,26.062
26-02-2020 09:40,29.605
26-02-2020 09:45,31.542
26-02-2020 09:50,27.108
26-02-2020 09:55,21.429
26-02-2020 10:00,28.125
26-02-2020 10:05,28.511
26-02-2020 10:10,29.095
26-02-2020 10:15,28.602
26-02-2020 10:20,21.987
26-02-2020 10:25,29.476
26-02-2020 10:30,29.476
