datetime,ave_speed
25-02-2020 09:05,20.963
25-02-2020 09:10,22.183
25-02-2020 09:15,22.038
25-02-2020 09:20,20.990
25-02-2020 09:25,22.191
25-02-2020 09:30,23.097
25-02-2020 09:35,21.816
25-02-2020 09:40,22.140
25-02-2020 09:45,22.897
25-02-2020 09:50,21.317
25-02-2020 09:55,22.676
25-02-2020 10:00,21.764
25-02-2020 10:05,20.981
25-02-2020 10:10,23.349
25-02-2020 10:15,20.722
25-02-2020 10:20,21.764
25-02-2020 10:25,22.296
25-02-2020 10:30,21.626
25-02-2020 10:35,21.101
25-02-2020 10:40,22.627
25-02-2020 10:45,24.016
25-02-2020 10:50,21.358
25-02-2020 10:55,21.287
25-02-2020 11:00,20.390
25-02-2020 16:35,24.670
25-02-2020 16:40,23.755
25-02-2020 16:45,24.182
25-02-2020 16:50,21.065
25-02-2020 16:55,23.535
25-02-2020 17:00,20.593
25-02-2020 17:05,23.070
25-02-2020 17:10,22.469
25-02-2020 17:15,18.709
25-02-2020 17:20,23.701
25-02-2020 17:25,22.945
25-02-2020 17:30,18.313
25-02-2020 17:35,20.580
25-02-2020 17:40,20.049
25-02-2020 17:45,21.818
25-02-2020 17:50,19.863
25-02-2020 17:55,22.113
25-02-2020 18:00,21.742
25-02-2020 18:05,20.862
25-02-2020 18:10,19.456
25-02-2020 18:15,23.006
25-02-2020 18:20,21.651
25-02-2020 18:25,19.959
25-02-2020 18:30,18.910
25-02-2020 18:35,22.057
25-02-2020 18:40,23.070
25-02-2020 18:45,18.037
25-02-2020 18:50,23.374
25-02-2020 18:55,21.987
25-02-2020 19:00,21.967
26-02-2020 08:35,27.254
26-02-2020 08:40,25.158
26-02-2020 08:45,24.438
26-02-2020 08:50,23.246
26-02-2020 08:55,22.296
26-02-2020 09:00,21.439
26-02-2020 09:05,21.180
26-02-2020 09:10,20.936
26-02-2020 09:15,22.467
26-02-2020 09:20,23.256
26-02-2020 09:25,23.342
26-02-2020 09:30,22.927
26-02-2020 09:35,20.852
26-02-2020 09:40,23.453
26-02-2020 09:45,23.953
26-02-2020 09:50,23.010
26-02-2020 09:55,18.379
26-02-2020 10:00,24.054
26-02-2020 10:05,22.097
26-02-2020 10:10,22.873
26-02-2020 10:15,22.567
26-02-2020 10:20,20.401
26-02-2020 10:25,24.368
26-02-2020 10:30,22.516
26-02-2020 10:35,22.039
26-02-2020 10:40,22.252
26-02-2020 10:45,20.878
26-02-2020 10:50,22.924
26-02-2020 10:55,22.220
26-02-2020 11:00,19.595
26-02-2020 16:35,23.695
26-02-2020 16:40,19.069
26-02-2020 16:45,17.063
26-02-2020 16:50,19.070
26-02-2020 16:55,19.951
26-02-2020 17:00,19.232
26-02-2020 17:05,19.306
26-02-2020 17:10,22.846
26-02-2020 17:15,22.294
26-02-2020 17:20,22.279
26-02-2020 17:25,21.644
26-02-2020 17:30,21.001
26-02-2020 17:35,22.101
26-02-2020 17:40,20.019
26-02-2020 17:45,22.079
26-02-2020 17:50,24.276
26-02-2020 17:55,23.175
26-02-2020 18:00,22.157
26-02-2020 18:05,21.637
26-02-2020 18:10,19.385
26-02-2020 18:15,18.784
26-02-2020 18:20,21.556
26-02-2020 18:25,19.810
26-02-2020 18:30,21.015
26-02-2020 18:35,21.440
26-02-2020 18:40,21.928
26-02-2020 18:45,22.325
26-02-2020 18:50,24.624
26-02-2020 18:55,25.290
26-02-2020 19:00,20.159
26-02-2020 08:35,26.247
26-02-2020 08:40,27.486
26-02-2020 08:45,26.099
26-02-2020 08:50,24.784
26-02-2020 08:55,21.643
26-02-2020 09:00,24.704
26-02-2020 09:05,25.863
26-02-2020 09:10,27.724
26-02-2020 09:15,25.025
26-02-2020 09:20,23.405
26-02-2020 09:25,27.324
26-02-2020 09:30,25.315
26-02-2020 09:35,24.991
26-02-2020 09:40,21.537
26-02-2020 09:45,21.031
26-02-2020 09:50,23.847
26-02-2020 09:55,22.614
26-02-2020 10:00,22.109
26-02-2020 10:05,21.251
26-02-2020 10:10,21.774
26-02-2020 10:15,24.545
26-02-2020 10:20,23.220
26-02-2020 10:25,21.515
26-02-2020 10:30,22.117
26-02-2020 10:35,26.639
26-02-2020 10:40,21.307
26-02-2020 10:45,25.012
26-02-2020 10:50,24.038
26-02-2020 10:55,21.522
26-02-2020 11:00,22.275
26-02-2020 16:35,22.749
26-02-2020 16:40,20.950
26-02-2020 16:45,23.033
26-02-2020 16:50,24.288
26-02-2020 16:55,22.949
26-02-2020 17:00,23.838
26-02-2020 17:05,22.159
26-02-2020 17:10,22.701
26-02-2020 17:15,21.814
26-02-2020 17:20,22.969
26-02-2020 17:25,21.418
26-02-2020 17:30,22.030
26-02-2020 17:35,20.872
26-02-2020 17:40,22.816
26-02-2020 17:45,20.774
26-02-2020 17:50,22.961
26-02-2020 17:55,20.354
26-02-2020 18:00,20.556
26-02-2020 18:05,22.042
26-02-2020 18:10,16.531
26-02-2020 18:15,12.433
26-02-2020 18:20,15.825
26-02-2020 18:25,17.504
26-02-2020 18:30,21.157
26-02-2020 18:35,19.901
26-02-2020 18:40,20.305
26-02-2020 18:45,21.921
26-02-2020 18:50,22.343
26-02-2020 18:55,20.498
26-02-2020 19:00,19.820
27-02-2020 08:35,29.335
27-02-2020 08:40,26.107
27-02-2020 08:45,27.058
27-02-2020 08:50,24.496
27-02-2020 08:55,26.562
27-02-2020 09:00,25.891
27-02-2020 09:05,24.376
27-02-2020 09:10,26.072
27-02-2020 09:15,21.763
27-02-2020 09:20,26.513
27-02-2020 09:25,23.340
27-02-2020 09:30,20.554
27-02-2020 09:35,21.939
27-02-2020 09:40,20.752
27-02-2020 09:45,18.346
27-02-2020 09:50,22.993
27-02-2020 09:55,24.317
27-02-2020 10:00,24.349
27-02-2020 10:05,24.084
27-02-2020 10:10,25.191
27-02-2020 10:15,21.021
27-02-2020 10:20,21.069
27-02-2020 10:25,22.420
27-02-2020 10:30,22.139
27-02-2020 10:35,27.921
27-02-2020 10:40,29.240
27-02-2020 10:45,26.269
27-02-2020 10:50,20.304
27-02-2020 10:55,27.862
27-02-2020 11:00,21.801
27-02-2020 16:35,23.473
27-02-2020 16:40,25.533
27-02-2020 16:45,19.584
27-02-2020 16:50,25.176
27-02-2020 16:55,22.867
27-02-2020 17:00,25.282
27-02-2020 17:05,22.729
27-02-2020 17:10,24.234
27-02-2020 17:15,25.052
27-02-2020 17:20,17.914
27-02-2020 17:25,21.130
27-02-2020 17:30,21.208
27-02-2020 17:35,20.558
27-02-2020 17:40,21.353
27-02-2020 17:45,18.943
27-02-2020 17:50,19.556
27-02-2020 17:55,21.020
27-02-2020 18:00,22.995
27-02-2020 18:05,21.748
27-02-2020 18:10,20.940
27-02-2020 18:15,20.334
27-02-2020 18:20,19.141
27-02-2020 18:25,20.434
27-02-2020 18:30,19.540
27-02-2020 18:35,21.134
27-02-2020 18:40,20.478
27-02-2020 18:45,19.735
27-02-2020 18:50,20.074
27-02-2020 18:55,19.529
27-02-2020 19:00,22.771
27-02-2020 08:35,23.13
27-02-2020 08:40,26.39
27-02-2020 08:45,25.10
27-02-2020 08:50,29.30
27-02-2020 08:55,24.98
27-02-2020 09:00,25.64
27-02-2020 09:05,24.74
27-02-2020 09:10,27.39
27-02-2020 09:15,26.11
27-02-2020 09:20,25.37
27-02-2020 09:25,22.60
27-02-2020 09:30,26.40
27-02-2020 09:35,25.86
27-02-2020 09:40,27.56
27-02-2020 09:45,24.57
27-02-2020 09:50,25.10
27-02-2020 09:55,25.14
27-02-2020 10:00,25.27
27-02-2020 10:05,24.48
27-02-2020 10:10,22.17
27-02-2020 10:15,23.30
27-02-2020 10:20,24.82
27-02-2020 10:25,25.82
27-02-2020 10:30,23.99
27-02-2020 10:35,23.54
27-02-2020 10:40,25.08
27-02-2020 10:45,22.13
27-02-2020 10:50,21.28
27-02-2020 10:55,33.05
27-02-2020 11:00,24.31
27-02-2020 16:35,21.91
27-02-2020 16:40,24.67
27-02-2020 16:45,21.90
27-02-2020 16:50,25.66
27-02-2020 16:55,23.06
27-02-2020 17:00,23.32
27-02-2020 17:05,22.61
27-02-2020 17:10,19.75
27-02-2020 17:15,22.95
27-02-2020 17:20,24.35
27-02-2020 17:25,25.22
27-02-2020 17:30,25.36
27-02-2020 17:35,25.92
27-02-2020 17:40,22.59
27-02-2020 17:45,24.82
27-02-2020 17:50,22.01
27-02-2020 17:55,24.56
27-02-2020 18:00,18.63
27-02-2020 18:05,21.04
27-02-2020 18:10,19.47
27-02-2020 18:15,21.91
27-02-2020 18:20,22.03
27-02-2020 18:25,20.30
27-02-2020 18:30,20.06
27-02-2020 18:35,22.93
27-02-2020 18:40,21.50
27-02-2020 18:45,26.66
27-02-2020 18:50,24.78
27-02-2020 18:55,25.62
27-02-2020 19:00,24.96
28-02-2020 08:35,27.620
28-02-2020 08:40,23.320
28-02-2020 08:45,23.037
28-02-2020 08:50,26.274
28-02-2020 08:55,25.225
28-02-2020 09:00,24.669
28-02-2020 09:05,25.292
28-02-2020 09:10,25.491
28-02-2020 09:15,24.408
28-02-2020 09:20,20.645
28-02-2020 09:25,26.613
28-02-2020 09:30,22.717
28-02-2020 09:35,20.109
28-02-2020 09:40,24.132
28-02-2020 09:45,22.665
28-02-2020 09:50,24.963
28-02-2020 09:55,23.445
28-02-2020 10:00,23.788
28-02-2020 10:05,20.038
28-02-2020 10:10,23.807
28-02-2020 10:15,22.667
28-02-2020 10:20,25.255
28-02-2020 10:25,25.737
28-02-2020 10:30,22.715
28-02-2020 10:35,22.523
28-02-2020 10:40,20.655
28-02-2020 10:45,22.325
28-02-2020 10:50,21.023
28-02-2020 10:55,21.729
28-02-2020 11:00,24.906
28-02-2020 16:35,18.565
28-02-2020 16:40,19.335
28-02-2020 16:45,22.887
28-02-2020 16:50,22.210
28-02-2020 16:55,18.888
28-02-2020 17:00,23.384
28-02-2020 17:05,22.523
28-02-2020 17:10,21.291
28-02-2020 17:15,22.460
28-02-2020 17:20,22.622
28-02-2020 17:25,22.244
28-02-2020 17:30,20.304
28-02-2020 17:35,16.206
