datetime,Car_speed
25-02-2020 09:05,22.689
25-02-2020 09:10,24.107
25-02-2020 09:15,26.341
25-02-2020 09:20,25.234
25-02-2020 09:25,29.032
25-02-2020 09:30,25.234
25-02-2020 09:35,28.125
25-02-2020 09:40,27.692
25-02-2020 09:45,25.352
25-02-2020 09:50,26.341
25-02-2020 09:55,29.508
25-02-2020 10:00,25.234
25-02-2020 10:05,26.866
25-02-2020 10:10,30.508
25-02-2020 10:15,25.234
25-02-2020 10:20,25.592
25-02-2020 10:25,29.032
25-02-2020 10:30,27.411
25-02-2020 10:35,26.087
25-02-2020 10:40,31.579
25-02-2020 10:45,25.837
25-02-2020 10:50,29.67
25-02-2020 10:55,18.947
25-02-2020 11:00,21.687
25-02-2020 16:35,29.189
25-02-2020 16:40,27.411
25-02-2020 16:45,28.125
25-02-2020 16:50,24.215
25-02-2020 16:55,26.341
25-02-2020 17:00,23.684
25-02-2020 17:05,27.411
25-02-2020 17:10,30.508
25-02-2020 17:15,24.215
25-02-2020 17:20,32.143
25-02-2020 17:25,26.471
25-02-2020 17:30,21.344
25-02-2020 17:35,23.894
25-02-2020 17:40,21.862
25-02-2020 17:45,23.789
25-02-2020 17:50,22.407
25-02-2020 17:55,25.472
25-02-2020 18:00,23.276
25-02-2020 18:05,23.684
25-02-2020 18:10,25.962
25-02-2020 18:15,26.087
25-02-2020 18:20,27.411
25-02-2020 18:25,22.881
25-02-2020 18:30,20.074
25-02-2020 18:35,25.714
25-02-2020 18:40,29.032
25-02-2020 18:45,22.594
25-02-2020 18:50,24.771
25-02-2020 18:55,28.272
25-02-2020 19:00,25.592
26-02-2020 08:35,36.096
26-02-2020 08:40,26.471
26-02-2020 08:45,27.664
26-02-2020 08:50,25.093
26-02-2020 08:55,26.892
26-02-2020 09:00,29.867
26-02-2020 09:05,27.218
26-02-2020 09:10,23.437
26-02-2020 09:15,23.356
26-02-2020 09:20,26.163
26-02-2020 09:25,27.664
26-02-2020 09:30,25.962
26-02-2020 09:35,25
26-02-2020 09:40,31.991
26-02-2020 09:45,26.786
26-02-2020 09:50,27.439
26-02-2020 09:55,20.455
26-02-2020 10:00,31.542
26-02-2020 10:05,26.471
26-02-2020 10:10,26.062
26-02-2020 10:15,25.187
26-02-2020 10:20,25
26-02-2020 10:25,24.816
26-02-2020 10:30,28.602
26-02-2020 10:35,27.273
26-02-2020 10:40,26.892
26-02-2020 10:45,25.568
26-02-2020 10:50,27.108
26-02-2020 10:55,24.908
26-02-2020 11:00,22.259
26-02-2020 16:35,26.367
26-02-2020 16:40,23.478
26-02-2020 16:45,21.429
26-02-2020 16:50,21.028
26-02-2020 16:55,19.912
26-02-2020 17:00,24.107
26-02-2020 17:05,23.684
26-02-2020 17:10,26.892
26-02-2020 17:15,26.812
26-02-2020 17:20,25
26-02-2020 17:25,23.663
26-02-2020 17:30,24.635
26-02-2020 17:35,27.439
26-02-2020 17:40,22.804
26-02-2020 17:45,24.021
26-02-2020 17:50,25.472
26-02-2020 17:55,26.062
26-02-2020 18:00,25.962
26-02-2020 18:05,22.113
26-02-2020 18:10,25.763
26-02-2020 18:15,13.132
26-02-2020 18:20,25.568
26-02-2020 18:25,25.448
26-02-2020 18:30,25.058
26-02-2020 18:35,19.452
26-02-2020 18:40,25.568
26-02-2020 18:45,25.187
26-02-2020 18:50,27.439
26-02-2020 18:55,28.125
26-02-2020 19:00,23.936
26-02-2020 08:35,38.571
26-02-2020 08:40,40.602
26-02-2020 08:45,32.335
26-02-2020 08:50,26.087
26-02-2020 08:55,29.508
26-02-2020 09:00,30.337
26-02-2020 09:05,31.214
26-02-2020 09:10,38.028
26-02-2020 09:15,36.242
26-02-2020 09:20,28.571
26-02-2020 09:25,34.395
26-02-2020 09:30,27.835
26-02-2020 09:35,27.835
26-02-2020 09:40,24.434
26-02-2020 09:45,29.032
26-02-2020 09:50,33.333
26-02-2020 09:55,32.335
26-02-2020 10:00,25.837
26-02-2020 10:05,26.866
26-02-2020 10:10,30.857
26-02-2020 10:15,28.723
26-02-2020 10:20,27.136
26-02-2020 10:25,27.551
26-02-2020 10:30,17.705
26-02-2020 10:35,39.13
26-02-2020 10:40,26.087
26-02-2020 10:45,30.857
26-02-2020 10:50,28.421
26-02-2020 10:55,25.234
26-02-2020 11:00,28.421
26-02-2020 16:35,27
26-02-2020 16:40,25.234
26-02-2020 16:45,27.411
26-02-2020 16:50,31.395
26-02-2020 16:55,28.421
26-02-2020 17:00,28.125
26-02-2020 17:05,27.692
26-02-2020 17:10,29.834
26-02-2020 17:15,25
26-02-2020 17:20,29.834
26-02-2020 17:25,27.551
26-02-2020 17:30,27
26-02-2020 17:35,27.551
26-02-2020 17:40,28.571
26-02-2020 17:45,26.733
26-02-2020 17:50,28.571
26-02-2020 17:55,22.979
26-02-2020 18:00,29.189
26-02-2020 18:05,25.714
26-02-2020 18:10,13.882
26-02-2020 18:15,10.305
26-02-2020 18:20,13.268
26-02-2020 18:25,17.363
26-02-2020 18:30,26.471
26-02-2020 18:35,27
26-02-2020 18:40,27.136
26-02-2020 18:45,21.344
26-02-2020 18:50,27.273
26-02-2020 18:55,25.714
26-02-2020 19:00,22.979
27-02-2020 08:35,31.915
27-02-2020 08:40,28.243
27-02-2020 08:45,31.106
27-02-2020 08:50,28.602
27-02-2020 08:55,31.542
27-02-2020 09:00,34.264
27-02-2020 09:05,28.125
27-02-2020 09:10,31.395
27-02-2020 09:15,19.737
27-02-2020 09:20,28.846
27-02-2020 09:25,25.568
27-02-2020 09:30,20.225
27-02-2020 09:35,31.25
27-02-2020 09:40,25.093
27-02-2020 09:45,14.485
27-02-2020 09:50,26.892
27-02-2020 09:55,29.801
27-02-2020 10:00,26.892
27-02-2020 10:05,29.348
27-02-2020 10:10,29.221
27-02-2020 10:15,26.163
27-02-2020 10:20,28.008
27-02-2020 10:25,28.008
27-02-2020 10:30,25.665
27-02-2020 10:35,37.293
27-02-2020 10:40,37.921
27-02-2020 10:45,29.095
27-02-2020 10:50,17.94
27-02-2020 10:55,32.609
27-02-2020 11:00,30.269
27-02-2020 16:35,26.575
27-02-2020 16:40,32.767
27-02-2020 16:45,23.768
27-02-2020 16:50,29.867
27-02-2020 16:55,27.218
27-02-2020 17:00,29.867
27-02-2020 17:05,27.893
27-02-2020 17:10,26.68
27-02-2020 17:15,30.963
27-02-2020 17:20,26.575
27-02-2020 17:25,25.093
27-02-2020 17:30,23.038
27-02-2020 17:35,26.786
27-02-2020 17:40,28.008
27-02-2020 17:45,27.218
27-02-2020 17:50,24.281
27-02-2020 17:55,25.376
27-02-2020 18:00,26.367
27-02-2020 18:05,23.296
27-02-2020 18:10,22.222
27-02-2020 18:15,25
27-02-2020 18:20,24.816
27-02-2020 18:25,21.907
27-02-2020 18:30,18.802
27-02-2020 18:35,19.912
27-02-2020 18:40,21.497
27-02-2020 18:45,17.442
27-02-2020 18:50,19.622
27-02-2020 18:55,21.226
27-02-2020 19:00,22.575
27-02-2020 08:35,33.2
