datetime,Truck_speed
25-02-2020 09:05,24.324
25-02-2020 09:10,19.78
25-02-2020 09:15,24.324
25-02-2020 09:20,20.225
25-02-2020 09:25,20.149
25-02-2020 09:30,22.131
25-02-2020 09:35,20.074
25-02-2020 09:40,20.849
25-02-2020 09:45,23.789
25-02-2020 09:50,24
25-02-2020 09:55,22.041
25-02-2020 10:00,20
25-02-2020 10:05,21.176
25-02-2020 10:10,24.107
25-02-2020 10:15,20.301
25-02-2020 10:20,24.215
25-02-2020 10:25,22.5
25-02-2020 10:30,20.074
25-02-2020 10:35,18.621
25-02-2020 10:40,16.875
25-02-2020 10:45,23.276
25-02-2020 10:50,22.5
25-02-2020 10:55,17.252
25-02-2020 11:00,17.476
25-02-2020 16:35,17.532
25-02-2020 16:40,23.377
25-02-2020 16:45,18.43
25-02-2020 16:50,19.853
25-02-2020 16:55,20.149
25-02-2020 17:00,19.853
25-02-2020 17:05,21.862
25-02-2020 17:10,16.168
25-02-2020 17:15,16.168
25-02-2020 17:20,20.377
25-02-2020 17:25,26.341
25-02-2020 17:30,20.225
25-02-2020 17:35,20.225
25-02-2020 17:40,23.894
25-02-2020 17:45,20
25-02-2020 17:50,15.429
25-02-2020 17:55,25.714
25-02-2020 18:00,19.424
25-02-2020 18:05,20.377
25-02-2020 18:10,16.168
25-02-2020 18:15,28.125
25-02-2020 18:20,19.565
25-02-2020 18:25,18.621
25-02-2020 18:30,16.981
25-02-2020 18:35,26.341
25-02-2020 18:40,21.344
25-02-2020 18:45,12.676
25-02-2020 18:50,25.592
25-02-2020 18:55,21.862
25-02-2020 19:00,21.862
26-02-2020 08:35,25
26-02-2020 08:40,25.472
26-02-2020 08:45,21.26
26-02-2020 08:50,19.149
26-02-2020 08:55,21.094
26-02-2020 09:00,8.804
26-02-2020 09:05,8.804
26-02-2020 09:10,19.014
26-02-2020 09:15,25.155
26-02-2020 09:20,25.155
26-02-2020 09:25,22.881
26-02-2020 09:30,19.565
26-02-2020 09:35,18.75
26-02-2020 09:40,19.194
26-02-2020 09:45,25.472
26-02-2020 09:50,25.472
26-02-2020 09:55,15.698
26-02-2020 10:00,15.698
26-02-2020 10:05,19.853
26-02-2020 10:10,18.08
26-02-2020 10:15,22.253
26-02-2020 10:20,18.367
26-02-2020 10:25,21.774
26-02-2020 10:30,20.455
26-02-2020 10:35,17.197
26-02-2020 10:40,19.853
26-02-2020 10:45,19.424
26-02-2020 10:50,19.286
26-02-2020 10:55,15.169
26-02-2020 11:00,18.557
26-02-2020 16:35,25.234
26-02-2020 16:40,15.667
26-02-2020 16:45,16.187
26-02-2020 16:50,16.564
26-02-2020 16:55,18.161
26-02-2020 17:00,18.121
26-02-2020 17:05,11.563
26-02-2020 17:10,19.798
26-02-2020 17:15,19.53
26-02-2020 17:20,19.756
26-02-2020 17:25,20.455
26-02-2020 17:30,16.603
26-02-2020 17:35,19.149
26-02-2020 17:40,18.621
26-02-2020 17:45,20.769
26-02-2020 17:50,21.951
26-02-2020 17:55,18.326
26-02-2020 18:00,20.876
26-02-2020 18:05,18.305
26-02-2020 18:10,14.674
26-02-2020 18:15,17.881
26-02-2020 18:20,18.493
26-02-2020 18:25,19.39
26-02-2020 18:30,16.463
26-02-2020 18:35,23.276
26-02-2020 18:40,19.014
26-02-2020 18:45,24.107
26-02-2020 18:50,22.253
26-02-2020 18:55,21.094
26-02-2020 19:00,18.243
26-02-2020 08:35,27.273
26-02-2020 08:40,27.273
26-02-2020 08:45,24.545
26-02-2020 08:50,22.979
26-02-2020 08:55,22.131
26-02-2020 09:00,25.714
26-02-2020 09:05,28.125
26-02-2020 09:10,24.107
26-02-2020 09:15,24.324
26-02-2020 09:20,26.601
26-02-2020 09:25,22.5
26-02-2020 09:30,26.866
26-02-2020 09:35,30.508
26-02-2020 09:40,13.74
26-02-2020 09:45,17.197
26-02-2020 09:50,20.69
26-02-2020 09:55,18.493
26-02-2020 10:00,20.377
26-02-2020 10:05,19.565
26-02-2020 10:10,11.739
26-02-2020 10:15,22.041
26-02-2020 10:20,21.951
26-02-2020 10:25,21.951
26-02-2020 10:30,26.601
26-02-2020 10:35,26.601
26-02-2020 10:40,20.225
26-02-2020 10:45,29.67
26-02-2020 10:50,21.862
26-02-2020 10:55,22.5
26-02-2020 11:00,19.78
26-02-2020 16:35,23.894
26-02-2020 16:40,18.493
26-02-2020 16:45,25.592
26-02-2020 16:50,27.551
26-02-2020 16:55,19.853
26-02-2020 17:00,20.532
26-02-2020 17:05,19.286
26-02-2020 17:10,20
26-02-2020 17:15,21.094
26-02-2020 17:20,24.324
26-02-2020 17:25,18.243
26-02-2020 17:30,26.866
26-02-2020 17:35,20.769
26-02-2020 17:40,21.344
26-02-2020 17:45,15.211
26-02-2020 17:50,17.881
26-02-2020 17:55,18.305
26-02-2020 18:00,18.305
26-02-2020 18:05,20.225
26-02-2020 18:10,18.815
26-02-2020 18:15,10.887
26-02-2020 18:20,16.77
26-02-2020 18:25,19.853
26-02-2020 18:30,18.43
26-02-2020 18:35,18.43
26-02-2020 18:40,23.276
26-02-2020 18:45,18.685
26-02-2020 18:50,15
26-02-2020 18:55,15
26-02-2020 19:00,15
27-02-2020 08:35,12.981
27-02-2020 08:40,20.149
27-02-2020 08:45,23.276
27-02-2020 08:50,21.471
27-02-2020 08:55,21.471
27-02-2020 09:00,17.532
27-02-2020 09:05,22.5
27-02-2020 09:10,23.684
27-02-2020 09:15,17.197
27-02-2020 09:20,23.41
27-02-2020 09:25,22.376
27-02-2020 09:30,19.471
27-02-2020 09:35,19.471
27-02-2020 09:40,22.131
27-02-2020 09:45,10.63
27-02-2020 09:50,22.011
27-02-2020 09:55,20.93
27-02-2020 10:00,22.314
27-02-2020 10:05,20.352
27-02-2020 10:10,18.243
27-02-2020 10:15,18.881
27-02-2020 10:20,14.063
27-02-2020 10:25,14.063
27-02-2020 10:30,14.362
27-02-2020 10:35,14.362
27-02-2020 10:40,21.094
27-02-2020 10:45,21.094
27-02-2020 10:50,15.197
27-02-2020 10:55,25.472
27-02-2020 11:00,20.611
27-02-2020 16:35,15.882
27-02-2020 16:40,19.286
27-02-2020 16:45,22.881
27-02-2020 16:50,20.93
27-02-2020 16:55,12.857
27-02-2020 17:00,25.472
27-02-2020 17:05,20.663
27-02-2020 17:10,23.684
27-02-2020 17:15,17.881
27-02-2020 17:20,17.457
27-02-2020 17:25,20.769
27-02-2020 17:30,18.947
27-02-2020 17:35,18.947
27-02-2020 17:40,21.094
27-02-2020 17:45,13.107
27-02-2020 17:50,15.789
27-02-2020 17:55,20.149
27-02-2020 18:00,17.197
27-02-2020 18:05,17.609
27-02-2020 18:10,16.713
27-02-2020 18:15,15.169
27-02-2020 18:20,12.273
27-02-2020 18:25,20.849
27-02-2020 18:30,21.429
27-02-2020 18:35,23.276
27-02-2020 18:40,19.014
27-02-2020 18:45,22.881
27-02-2020 18:50,22.881
27-02-2020 18:55,14.063
27-02-2020 19:00,21.429
27-02-2020 08:35,17.31
27-02-2020 08:40,24.11
