datetime,Truck_volume
25-02-2020 16:55,2
25-02-2020 17:00,8
25-02-2020 17:05,4
25-02-2020 17:10,4
25-02-2020 17:15,1
25-02-2020 17:20,2
25-02-2020 17:25,1
25-02-2020 17:30,3
25-02-2020 17:35,3
25-02-2020 17:40,1
25-02-2020 17:45,3
25-02-2020 17:50,4
25-02-2020 17:55,1
25-02-2020 18:00,3
25-02-2020 18:05,3
25-02-2020 18:10,3
25-02-2020 18:15,1
25-02-2020 18:20,4
25-02-2020 18:25,4
25-02-2020 18:30,4
25-02-2020 18:35,2
25-02-2020 18:40,2
25-02-2020 18:45,1
25-02-2020 18:50,1
25-02-2020 18:55,2
25-02-2020 19:00,0
26-02-2020 08:35,2
26-02-2020 08:40,1
26-02-2020 08:45,2
26-02-2020 08:50,1
26-02-2020 08:55,1
26-02-2020 09:00,3
26-02-2020 09:05,0
26-02-2020 09:10,1
26-02-2020 09:15,3
26-02-2020 09:20,0
26-02-2020 09:25,4
26-02-2020 09:30,2
26-02-2020 09:35,4
26-02-2020 09:40,5
26-02-2020 09:45,2
26-02-2020 09:50,1
26-02-2020 09:55,2
26-02-2020 10:00,0
26-02-2020 10:05,3
26-02-2020 10:10,3
26-02-2020 10:15,4
26-02-2020 10:20,4
26-02-2020 10:25,3
26-02-2020 10:30,1
26-02-2020 10:35,2
26-02-2020 10:40,3
26-02-2020 10:45,5
26-02-2020 10:50,1
26-02-2020 10:55,2
26-02-2020 11:00,6
26-02-2020 16:35,4
26-02-2020 16:40,3
26-02-2020 16:45,5
26-02-2020 16:50,3
26-02-2020 16:55,6
26-02-2020 17:00,2
26-02-2020 17:05,4
26-02-2020 17:10,5
26-02-2020 17:15,6
26-02-2020 17:20,5
26-02-2020 17:25,1
26-02-2020 17:30,5
26-02-2020 17:35,2
26-02-2020 17:40,4
26-02-2020 17:45,2
26-02-2020 17:50,4
26-02-2020 17:55,4
26-02-2020 18:00,2
26-02-2020 18:05,7
26-02-2020 18:10,3
26-02-2020 18:15,4
26-02-2020 18:20,3
26-02-2020 18:25,3
26-02-2020 18:30,2
26-02-2020 18:35,1
26-02-2020 18:40,0
26-02-2020 18:45,1
26-02-2020 18:50,3
26-02-2020 18:55,3
26-02-2020 19:00,2
26-02-2020 08:35,1
26-02-2020 08:40,0
26-02-2020 08:45,5
26-02-2020 08:50,5
26-02-2020 08:55,1
26-02-2020 09:00,1
26-02-2020 09:05,2
26-02-2020 09:10,2
26-02-2020 09:15,1
26-02-2020 09:20,2
26-02-2020 09:25,3
26-02-2020 09:30,2
26-02-2020 09:35,1
26-02-2020 09:40,2
26-02-2020 09:45,3
26-02-2020 09:50,1
26-02-2020 09:55,3
26-02-2020 10:00,4
26-02-2020 10:05,2
26-02-2020 10:10,1
26-02-2020 10:15,1
26-02-2020 10:20,4
26-02-2020 10:25,0
26-02-2020 10:30,1
26-02-2020 10:35,0
26-02-2020 10:40,4
26-02-2020 10:45,1
26-02-2020 10:50,5
26-02-2020 10:55,5
26-02-2020 11:00,4
26-02-2020 16:35,4
26-02-2020 16:40,7
26-02-2020 16:45,8
26-02-2020 16:50,2
26-02-2020 16:55,3
26-02-2020 17:00,5
26-02-2020 17:05,3
26-02-2020 17:10,4
26-02-2020 17:15,3
26-02-2020 17:20,7
26-02-2020 17:25,1
26-02-2020 17:30,1
26-02-2020 17:35,6
26-02-2020 17:40,6
26-02-2020 17:45,4
26-02-2020 17:50,4
26-02-2020 17:55,5
26-02-2020 18:00,0
26-02-2020 18:05,4
26-02-2020 18:10,2
26-02-2020 18:15,3
26-02-2020 18:20,3
26-02-2020 18:25,4
26-02-2020 18:30,2
26-02-2020 18:35,0
26-02-2020 18:40,2
26-02-2020 18:45,1
26-02-2020 18:50,1
26-02-2020 18:55,0
26-02-2020 19:00,0
27-02-2020 08:35,2
27-02-2020 08:40,2
27-02-2020 08:45,3
27-02-2020 08:50,0
27-02-2020 08:55,0
27-02-2020 09:00,2
27-02-2020 09:05,1
27-02-2020 09:10,2
27-02-2020 09:15,5
27-02-2020 09:20,6
27-02-2020 09:25,4
27-02-2020 09:30,2
27-02-2020 09:35,0
27-02-2020 09:40,4
27-02-2020 09:45,1
27-02-2020 09:50,4
27-02-2020 09:55,5
27-02-2020 10:00,2
27-02-2020 10:05,3
27-02-2020 10:10,1
27-02-2020 10:15,2
27-02-2020 10:20,2
27-02-2020 10:25,0
27-02-2020 10:30,1
27-02-2020 10:35,0
27-02-2020 10:40,1
27-02-2020 10:45,5
27-02-2020 10:50,3
27-02-2020 10:55,2
27-02-2020 11:00,2
27-02-2020 16:35,2
27-02-2020 16:40,5
27-02-2020 16:45,8
27-02-2020 16:50,3
27-02-2020 16:55,2
27-02-2020 17:00,3
27-02-2020 17:05,3
27-02-2020 17:10,2
27-02-2020 17:15,8
27-02-2020 17:20,5
27-02-2020 17:25,4
27-02-2020 17:30,2
27-02-2020 17:35,1
27-02-2020 17:40,0
27-02-2020 17:45,1
27-02-2020 17:50,3
27-02-2020 17:55,3
27-02-2020 18:00,4
27-02-2020 18:05,6
27-02-2020 18:10,6
27-02-2020 18:15,5
27-02-2020 18:20,3
27-02-2020 18:25,2
27-02-2020 18:30,2
27-02-2020 18:35,0
27-02-2020 18:40,5
27-02-2020 18:45,1
27-02-2020 18:50,3
27-02-2020 18:55,6
27-02-2020 19:00,2
27-02-2020 08:35,2
27-02-2020 08:40,2
27-02-2020 08:45,4
27-02-2020 08:50,1
27-02-2020 08:55,3
27-02-2020 09:00,2
27-02-2020 09:05,2
27-02-2020 09:10,2
27-02-2020 09:15,1
27-02-2020 09:20,0
27-02-2020 09:25,2
27-02-2020 09:30,3
27-02-2020 09:35,1
27-02-2020 09:40,6
27-02-2020 09:45,0
27-02-2020 09:50,3
27-02-2020 09:55,4
27-02-2020 10:00,4
27-02-2020 10:05,2
27-02-2020 10:10,3
27-02-2020 10:15,2
27-02-2020 10:20,2
27-02-2020 10:25,5
27-02-2020 10:30,4
27-02-2020 10:35,1
27-02-2020 10:40,3
27-02-2020 10:45,0
27-02-2020 10:50,1
27-02-2020 10:55,6
27-02-2020 11:00,3
27-02-2020 16:35,11
27-02-2020 16:40,9
27-02-2020 16:45,5
27-02-2020 16:50,9
27-02-2020 16:55,3
27-02-2020 17:00,2
27-02-2020 17:05,2
27-02-2020 17:10,4
27-02-2020 17:15,7
27-02-2020 17:20,5
27-02-2020 17:25,4
27-02-2020 17:30,6
27-02-2020 17:35,3
27-02-2020 17:40,2
27-02-2020 17:45,0
27-02-2020 17:50,4
27-02-2020 17:55,2
27-02-2020 18:00,1
