datetime,2W_volume
25-02-2020 16:55,150
25-02-2020 17:00,213
25-02-2020 17:05,133
25-02-2020 17:10,164
25-02-2020 17:15,222
25-02-2020 17:20,231
25-02-2020 17:25,199
25-02-2020 17:30,225
25-02-2020 17:35,201
25-02-2020 17:40,202
25-02-2020 17:45,186
25-02-2020 17:50,227
25-02-2020 17:55,236
25-02-2020 18:00,170
25-02-2020 18:05,176
25-02-2020 18:10,202
25-02-2020 18:15,233
25-02-2020 18:20,214
25-02-2020 18:25,223
25-02-2020 18:30,207
25-02-2020 18:35,225
25-02-2020 18:40,204
25-02-2020 18:45,220
25-02-2020 18:50,193
25-02-2020 18:55,184
25-02-2020 19:00,106
26-02-2020 08:35,145
26-02-2020 08:40,159
26-02-2020 08:45,162
26-02-2020 08:50,179
26-02-2020 08:55,196
26-02-2020 09:00,220
26-02-2020 09:05,210
26-02-2020 09:10,228
26-02-2020 09:15,216
26-02-2020 09:20,182
26-02-2020 09:25,252
26-02-2020 09:30,201
26-02-2020 09:35,252
26-02-2020 09:40,216
26-02-2020 09:45,245
26-02-2020 09:50,272
26-02-2020 09:55,280
26-02-2020 10:00,230
26-02-2020 10:05,203
26-02-2020 10:10,249
26-02-2020 10:15,246
26-02-2020 10:20,229
26-02-2020 10:25,242
26-02-2020 10:30,189
26-02-2020 10:35,228
26-02-2020 10:40,209
26-02-2020 10:45,211
26-02-2020 10:50,221
26-02-2020 10:55,207
26-02-2020 11:00,202
26-02-2020 16:35,160
26-02-2020 16:40,169
26-02-2020 16:45,153
26-02-2020 16:50,148
26-02-2020 16:55,169
26-02-2020 17:00,140
26-02-2020 17:05,151
26-02-2020 17:10,156
26-02-2020 17:15,158
26-02-2020 17:20,136
26-02-2020 17:25,155
26-02-2020 17:30,146
26-02-2020 17:35,112
26-02-2020 17:40,150
26-02-2020 17:45,148
26-02-2020 17:50,143
26-02-2020 17:55,162
26-02-2020 18:00,174
26-02-2020 18:05,150
26-02-2020 18:10,163
26-02-2020 18:15,207
26-02-2020 18:20,192
26-02-2020 18:25,167
26-02-2020 18:30,180
26-02-2020 18:35,169
26-02-2020 18:40,189
26-02-2020 18:45,180
26-02-2020 18:50,165
26-02-2020 18:55,149
26-02-2020 19:00,134
26-02-2020 08:35,84
26-02-2020 08:40,78
26-02-2020 08:45,99
26-02-2020 08:50,8
26-02-2020 08:55,107
26-02-2020 09:00,118
26-02-2020 09:05,110
26-02-2020 09:10,120
26-02-2020 09:15,109
26-02-2020 09:20,133
26-02-2020 09:25,160
26-02-2020 09:30,138
26-02-2020 09:35,172
26-02-2020 09:40,181
26-02-2020 09:45,188
26-02-2020 09:50,168
26-02-2020 09:55,192
26-02-2020 10:00,174
26-02-2020 10:05,166
26-02-2020 10:10,215
26-02-2020 10:15,212
26-02-2020 10:20,220
26-02-2020 10:25,198
26-02-2020 10:30,161
26-02-2020 10:35,148
26-02-2020 10:40,189
26-02-2020 10:45,173
26-02-2020 10:50,184
26-02-2020 10:55,170
26-02-2020 11:00,181
26-02-2020 16:35,152
26-02-2020 16:40,161
26-02-2020 16:45,166
26-02-2020 16:50,147
26-02-2020 16:55,167
26-02-2020 17:00,163
26-02-2020 17:05,162
26-02-2020 17:10,183
26-02-2020 17:15,194
26-02-2020 17:20,193
26-02-2020 17:25,193
26-02-2020 17:30,199
26-02-2020 17:35,189
26-02-2020 17:40,147
26-02-2020 17:45,221
26-02-2020 17:50,171
26-02-2020 17:55,212
26-02-2020 18:00,194
26-02-2020 18:05,186
26-02-2020 18:10,213
26-02-2020 18:15,186
26-02-2020 18:20,214
26-02-2020 18:25,204
26-02-2020 18:30,195
26-02-2020 18:35,182
26-02-2020 18:40,193
26-02-2020 18:45,176
26-02-2020 18:50,198
26-02-2020 18:55,172
26-02-2020 19:00,178
27-02-2020 08:35,147
27-02-2020 08:40,163
27-02-2020 08:45,177
27-02-2020 08:50,200
27-02-2020 08:55,298
27-02-2020 09:00,202
27-02-2020 09:05,191
27-02-2020 09:10,205
27-02-2020 09:15,212
27-02-2020 09:20,240
27-02-2020 09:25,215
27-02-2020 09:30,270
27-02-2020 09:35,241
27-02-2020 09:40,250
27-02-2020 09:45,222
27-02-2020 09:50,237
27-02-2020 09:55,241
27-02-2020 10:00,212
27-02-2020 10:05,254
27-02-2020 10:10,218
27-02-2020 10:15,230
27-02-2020 10:20,209
27-02-2020 10:25,234
27-02-2020 10:30,213
27-02-2020 10:35,192
27-02-2020 10:40,195
27-02-2020 10:45,178
27-02-2020 10:50,155
27-02-2020 10:55,192
27-02-2020 11:00,176
27-02-2020 16:35,148
27-02-2020 16:40,140
27-02-2020 16:45,138
27-02-2020 16:50,126
27-02-2020 16:55,200
27-02-2020 17:00,126
27-02-2020 17:05,154
27-02-2020 17:10,163
27-02-2020 17:15,140
27-02-2020 17:20,155
27-02-2020 17:25,158
27-02-2020 17:30,172
27-02-2020 17:35,137
27-02-2020 17:40,173
27-02-2020 17:45,142
27-02-2020 17:50,118
27-02-2020 17:55,143
27-02-2020 18:00,155
27-02-2020 18:05,153
27-02-2020 18:10,145
27-02-2020 18:15,162
27-02-2020 18:20,178
27-02-2020 18:25,172
27-02-2020 18:30,178
27-02-2020 18:35,174
27-02-2020 18:40,178
27-02-2020 18:45,153
27-02-2020 18:50,174
27-02-2020 18:55,180
27-02-2020 19:00,127
27-02-2020 08:35,72
27-02-2020 08:40,75
27-02-2020 08:45,82
27-02-2020 08:50,80
27-02-2020 08:55,97
27-02-2020 09:00,108
27-02-2020 09:05,106
27-02-2020 09:10,121
27-02-2020 09:15,154
27-02-2020 09:20,117
27-02-2020 09:25,111
27-02-2020 09:30,119
27-02-2020 09:35,136
27-02-2020 09:40,170
27-02-2020 09:45,142
27-02-2020 09:50,137
27-02-2020 09:55,194
27-02-2020 10:00,171
27-02-2020 10:05,180
27-02-2020 10:10,166
27-02-2020 10:15,213
27-02-2020 10:20,184
27-02-2020 10:25,155
27-02-2020 10:30,194
27-02-2020 10:35,186
27-02-2020 10:40,173
27-02-2020 10:45,192
27-02-2020 10:50,183
27-02-2020 10:55,187
27-02-2020 11:00,171
27-02-2020 16:35,171
27-02-2020 16:40,194
27-02-2020 16:45,145
27-02-2020 16:50,169
27-02-2020 16:55,145
27-02-2020 17:00,190
27-02-2020 17:05,172
27-02-2020 17:10,180
27-02-2020 17:15,206
27-02-2020 17:20,186
27-02-2020 17:25,208
27-02-2020 17:30,231
27-02-2020 17:35,159
27-02-2020 17:40,221
27-02-2020 17:45,187
27-02-2020 17:50,195
27-02-2020 17:55,146
27-02-2020 18:00,193
27-02-2020 18:05,191
27-02-2020 18:10,199
27-02-2020 18:15,203
27-02-2020 18:20,242
27-02-2020 18:25,215
27-02-2020 18:30,206
27-02-2020 18:35,213
27-02-2020 18:40,186
