datetime,LCV_speed
25-02-2020 09:10,21.687
25-02-2020 09:15,27.692
25-02-2020 09:20,19.636
25-02-2020 09:25,25.116
25-02-2020 09:30,22.689
25-02-2020 09:35,20.769
25-02-2020 09:40,18.367
25-02-2020 09:45,27
25-02-2020 09:50,22.222
25-02-2020 09:55,22.041
25-02-2020 10:00,25.592
25-02-2020 10:05,18.685
25-02-2020 10:10,22.222
25-02-2020 10:15,26.341
25-02-2020 10:20,21.514
25-02-2020 10:25,21.687
25-02-2020 10:30,22.979
25-02-2020 10:35,24
25-02-2020 10:40,32.335
25-02-2020 10:45,31.953
25-02-2020 10:50,18.493
25-02-2020 10:55,25.962
25-02-2020 11:00,19.217
25-02-2020 16:35,27.411
25-02-2020 16:40,27.692
25-02-2020 16:45,24.658
25-02-2020 16:50,25.472
25-02-2020 16:55,25.962
25-02-2020 17:00,21.6
25-02-2020 17:05,28.421
25-02-2020 17:10,24.434
25-02-2020 17:15,18.43
25-02-2020 17:20,25.592
25-02-2020 17:25,27.273
25-02-2020 17:30,20.149
25-02-2020 17:35,19.565
25-02-2020 17:40,15.562
25-02-2020 17:45,25.962
25-02-2020 17:50,25.962
25-02-2020 17:55,21.176
25-02-2020 18:00,22.222
25-02-2020 18:05,22.041
25-02-2020 18:10,23.276
25-02-2020 18:15,25.352
25-02-2020 18:20,21.774
25-02-2020 18:25,20
25-02-2020 18:30,22.979
25-02-2020 18:35,20.532
25-02-2020 18:40,21.26
25-02-2020 18:45,18.243
25-02-2020 18:50,26.087
25-02-2020 18:55,23.176
25-02-2020 19:00,23.176
26-02-2020 08:35,26.866
26-02-2020 08:40,25.714
26-02-2020 08:45,25.763
26-02-2020 08:50,21.774
26-02-2020 08:55,24.658
26-02-2020 09:00,18.243
26-02-2020 09:05,23.41
26-02-2020 09:10,21.774
26-02-2020 09:15,22.314
26-02-2020 09:20,27.411
26-02-2020 09:25,16.463
26-02-2020 09:30,18.367
26-02-2020 09:35,16.875
26-02-2020 09:40,17.763
26-02-2020 09:45,20.352
26-02-2020 09:50,20.984
26-02-2020 09:55,18.815
26-02-2020 10:00,26.733
26-02-2020 10:05,21.429
26-02-2020 10:10,25.472
26-02-2020 10:15,22.626
26-02-2020 10:20,23.377
26-02-2020 10:25,22.594
26-02-2020 10:30,15.698
26-02-2020 10:35,12.882
26-02-2020 10:40,25.837
26-02-2020 10:45,18.121
26-02-2020 10:50,21.658
26-02-2020 10:55,21.704
26-02-2020 11:00,14.477
26-02-2020 16:35,25.352
26-02-2020 16:40,17.94
26-02-2020 16:45,23.824
26-02-2020 16:50,18.293
26-02-2020 16:55,19.956
26-02-2020 17:00,17.476
26-02-2020 17:05,18.409
26-02-2020 17:10,22.204
26-02-2020 17:15,22.011
26-02-2020 17:20,27.136
26-02-2020 17:25,22.979
26-02-2020 17:30,18.409
26-02-2020 17:35,23.601
26-02-2020 17:40,20.455
26-02-2020 17:45,19.341
26-02-2020 17:50,23.824
26-02-2020 17:55,21.951
26-02-2020 18:00,22.5
26-02-2020 18:05,21.429
26-02-2020 18:10,18.493
26-02-2020 18:15,22.161
26-02-2020 18:20,21.687
26-02-2020 18:25,22.041
26-02-2020 18:30,20.69
26-02-2020 18:35,21.658
26-02-2020 18:40,19.286
26-02-2020 18:45,19.78
26-02-2020 18:50,24.107
26-02-2020 18:55,24.847
26-02-2020 19:00,20
26-02-2020 08:35,19.286
26-02-2020 08:40,23.377
26-02-2020 08:45,28.723
26-02-2020 08:50,30
26-02-2020 08:55,19.495
26-02-2020 09:00,26.601
26-02-2020 09:05,24.434
26-02-2020 09:10,28.877
26-02-2020 09:15,28.571
26-02-2020 09:20,16.514
26-02-2020 09:25,27.136
26-02-2020 09:30,28.272
26-02-2020 09:35,22.594
26-02-2020 09:40,23.894
26-02-2020 09:45,14.754
26-02-2020 09:50,24.434
26-02-2020 09:55,24.324
26-02-2020 10:00,21.344
26-02-2020 10:05,21.176
26-02-2020 10:10,15.126
26-02-2020 10:15,28.571
26-02-2020 10:20,25.352
26-02-2020 10:25,21.687
26-02-2020 10:30,23.684
26-02-2020 10:35,19.355
26-02-2020 10:40,20.455
26-02-2020 10:45,18.493
26-02-2020 10:50,23.684
26-02-2020 10:55,19.286
26-02-2020 11:00,24.107
26-02-2020 16:35,20.849
26-02-2020 16:40,24.107
26-02-2020 16:45,28.877
26-02-2020 16:50,24
26-02-2020 16:55,25.234
26-02-2020 17:00,26.601
26-02-2020 17:05,22.881
26-02-2020 17:10,22.222
26-02-2020 17:15,27
26-02-2020 17:20,24.771
26-02-2020 17:25,24.885
26-02-2020 17:30,22.881
26-02-2020 17:35,20.149
26-02-2020 17:40,23.176
26-02-2020 17:45,23.377
26-02-2020 17:50,25.714
26-02-2020 17:55,20.149
26-02-2020 18:00,15.562
26-02-2020 18:05,20.769
26-02-2020 18:10,19.78
26-02-2020 18:15,11.392
26-02-2020 18:20,15.562
26-02-2020 18:25,18.881
26-02-2020 18:30,25.116
26-02-2020 18:35,19.853
26-02-2020 18:40,19.495
26-02-2020 18:45,28.571
26-02-2020 18:50,30.337
26-02-2020 18:55,24.771
26-02-2020 19:00,21.429
27-02-2020 08:35,34.034
27-02-2020 08:40,32.143
27-02-2020 08:45,20.301
27-02-2020 08:50,23.824
27-02-2020 08:55,24.545
27-02-2020 09:00,22.817
27-02-2020 09:05,22.881
27-02-2020 09:10,29.137
27-02-2020 09:15,27
27-02-2020 09:20,28.125
27-02-2020 09:25,27.551
27-02-2020 09:30,18.493
27-02-2020 09:35,4.265
27-02-2020 09:40,16.946
27-02-2020 09:45,22.131
27-02-2020 09:50,18.75
27-02-2020 09:55,22.314
27-02-2020 10:00,27.551
27-02-2020 10:05,23.011
27-02-2020 10:10,27.835
27-02-2020 10:15,21.774
27-02-2020 10:20,10.976
27-02-2020 10:25,20.769
27-02-2020 10:30,16.564
27-02-2020 10:35,27.273
27-02-2020 10:40,26.866
27-02-2020 10:45,23.276
27-02-2020 10:50,15
27-02-2020 10:55,21.543
27-02-2020 11:00,19.853
27-02-2020 16:35,21.862
27-02-2020 16:40,25.472
27-02-2020 16:45,10.15
27-02-2020 16:50,21.996
27-02-2020 16:55,22.626
27-02-2020 17:00,22.011
27-02-2020 17:05,21.774
27-02-2020 17:10,26.471
27-02-2020 17:15,25.796
27-02-2020 17:20,25.472
27-02-2020 17:25,17.143
27-02-2020 17:30,28.723
27-02-2020 17:35,16.314
27-02-2020 17:40,20.149
27-02-2020 17:45,17.017
27-02-2020 17:50,19.565
27-02-2020 17:55,20.455
27-02-2020 18:00,25.714
27-02-2020 18:05,20.663
27-02-2020 18:10,20.999
27-02-2020 18:15,21.704
27-02-2020 18:20,17.197
