datetime,PCUFlow
2/25/2020 17:35,575.24
2/25/2020 17:40,607.99
2/25/2020 17:45,576.80
2/25/2020 17:50,610.53
2/25/2020 17:55,639.87
2/25/2020 18:05,553.27
2/25/2020 18:10,680.37
2/25/2020 18:15,770.00
2/25/2020 18:20,614.26
2/25/2020 18:25,514.89
2/25/2020 18:35,583.05
2/25/2020 18:40,530.49
2/25/2020 18:45,518.99
2/25/2020 18:50,458.97
2/25/2020 18:55,547.85
2/26/2020 8:35,533.07
2/26/2020 8:40,452.54
2/26/2020 8:45,565.02
2/26/2020 8:50,539.42
2/26/2020 8:55,594.39
2/26/2020 9:05,561.22
2/26/2020 9:10,606.84
2/26/2020 9:15,587.99
2/26/2020 9:20,619.89
2/26/2020 9:25,559.10
2/26/2020 9:35,613.12
2/26/2020 9:40,682.12
2/26/2020 9:45,565.94
2/26/2020 9:50,616.07
2/26/2020 9:55,690.76
2/26/2020 10:05,540.84
2/26/2020 10:10,649.21
2/26/2020 10:15,575.64
2/26/2020 10:20,648.58
2/26/2020 10:25,578.02
2/26/2020 10:35,560.97
2/26/2020 10:40,532.20
2/26/2020 10:45,627.05
2/26/2020 10:50,568.68
2/26/2020 10:55,593.58
2/26/2020 16:35,564.60
2/26/2020 16:40,542.22
2/26/2020 16:45,552.59
2/26/2020 16:50,549.95
2/26/2020 16:55,552.63
2/26/2020 17:05,599.14
2/26/2020 17:10,562.36
2/26/2020 17:15,530.65
2/26/2020 17:20,446.38
2/26/2020 17:25,513.95
2/26/2020 17:35,477.33
2/26/2020 17:40,598.51
2/26/2020 17:45,499.30
2/26/2020 17:50,531.52
2/26/2020 17:55,592.81
2/26/2020 18:05,542.45
2/26/2020 18:10,613.86
2/26/2020 18:15,485.13
2/26/2020 18:20,585.74
2/26/2020 18:25,547.06
2/26/2020 18:35,485.74
2/26/2020 18:40,531.82
2/26/2020 18:45,520.27
2/26/2020 18:50,476.20
2/26/2020 18:55,520.16
2/26/2020 8:35,535.55
2/26/2020 8:40,467.09
2/26/2020 8:45,455.52
2/26/2020 8:50,424.58
2/26/2020 8:55,492.00
2/26/2020 9:05,446.45
2/26/2020 9:10,453.73
2/26/2020 9:15,520.01
2/26/2020 9:20,438.39
2/26/2020 9:25,450.38
2/26/2020 9:35,479.81
2/26/2020 9:40,575.83
2/26/2020 9:45,544.87
2/26/2020 9:50,545.58
2/26/2020 9:55,526.43
2/26/2020 10:05,531.10
2/26/2020 10:10,605.00
2/26/2020 10:15,517.68
2/26/2020 10:20,583.42
2/26/2020 10:25,622.62
2/26/2020 10:35,467.89
2/26/2020 10:40,543.66
2/26/2020 10:45,591.42
2/26/2020 10:50,550.15
2/26/2020 10:55,469.29
2/26/2020 16:35,554.73
2/26/2020 16:40,580.62
2/26/2020 16:45,633.69
2/26/2020 16:50,620.49
2/26/2020 16:55,505.40
2/26/2020 17:05,602.57
2/26/2020 17:10,584.57
2/26/2020 17:15,602.92
2/26/2020 17:20,476.94
2/26/2020 17:25,651.48
2/26/2020 17:35,600.51
2/26/2020 17:40,610.21
2/26/2020 17:45,712.36
2/26/2020 17:50,591.06
2/26/2020 17:55,610.42
2/26/2020 18:05,594.71
2/26/2020 18:10,530.29
2/26/2020 18:15,498.29
2/26/2020 18:20,534.86
2/26/2020 18:25,519.05
2/26/2020 18:35,563.50
2/26/2020 18:40,526.58
2/26/2020 18:45,441.76
2/26/2020 18:50,552.35
2/26/2020 18:55,584.53
2/27/2020 8:35,468.60
2/27/2020 8:40,454.99
2/27/2020 8:45,580.88
2/27/2020 8:50,577.59
2/27/2020 8:55,647.82
2/27/2020 9:05,629.27
2/27/2020 9:10,612.74
2/27/2020 9:15,586.38
2/27/2020 9:20,638.19
2/27/2020 9:25,671.00
2/27/2020 9:35,663.33
2/27/2020 9:40,674.63
2/27/2020 9:45,463.96
2/27/2020 9:50,632.82
2/27/2020 9:55,607.06
2/27/2020 10:05,586.56
2/27/2020 10:10,571.52
2/27/2020 10:15,586.09
2/27/2020 10:20,637.33
2/27/2020 10:25,636.98
2/27/2020 10:35,439.88
2/27/2020 10:40,487.93
2/27/2020 10:45,492.21
2/27/2020 10:50,396.19
2/27/2020 10:55,469.60
2/27/2020 16:35,565.41
2/27/2020 16:40,541.29
2/27/2020 16:45,554.42
2/27/2020 16:50,547.03
2/27/2020 16:55,594.39
2/27/2020 17:05,634.53
2/27/2020 17:10,446.19
2/27/2020 17:15,589.09
2/27/2020 17:20,775.17
2/27/2020 17:25,622.95
2/27/2020 17:35,524.01
2/27/2020 17:40,653.07
2/27/2020 17:45,660.20
2/27/2020 17:50,544.99
2/27/2020 17:55,637.96
2/27/2020 18:05,524.27
2/27/2020 18:10,554.80
2/27/2020 18:15,646.88
2/27/2020 18:20,575.57
2/27/2020 18:25,603.27
2/27/2020 18:35,438.06
